Open;High;Low;Close;Volume;10dPerf
5505.55;5865.88;5490.2;5768.29;18720780006;0.0351610448714728
5402.42;5522.26;5394.22;5505.28;14644460907;0.0196152514089607
5350.91;5418;5347.65;5402.7;13679528236;0.0165903664105762
5247.73;5363.26;5224.19;5350.73;13878964574;0.00240544484805771
5284.86;5311.27;5216.49;5247.35;13735490672;-0.0106451777118712
5271.75;5326.23;5255.68;5285.14;12819992056;-0.00250075966472829
5279.47;5310.75;5233.64;5268.29;13111274675;0.00311313533665669
5210.3;5383.63;5177.37;5279.35;16812108040;0.00836395724621619
5466.52;5542.24;5181.34;5210.52;15330283408;0.0283021288268857
5571.51;5642.04;5418.26;5464.87;17048033399;0.0575011804045109
5399.37;5633.8;5389.41;5572.36;15867308108;0.0933506521026803
5312.49;5422.69;5280.28;5399.37;14601631648;0.0608758355371999
5335.88;5359.93;5257.34;5314.53;13731844223;0.049371210131721
5304.16;5358.49;5295.88;5337.89;13169647522;0.00250537604116774
5298.15;5336.68;5233.34;5303.81;13780238655;0.0189915004149888
5251.48;5319.99;5250.51;5298.39;13256489918;0.00162956045347906
5236.14;5274.28;5219.21;5251.94;12438480677;0.0102021581488392
5066.58;5238.95;5055.19;5235.56;11618660197;0.034732460838528
5167.32;5196.61;5024.07;5067.11;12290155061;0.00604167824836987
5095.76;5184.02;5053.57;5167.72;10391952498;0.0497521735597628
5088.85;5127.12;5061.59;5096.59;10823289598;0.0248480802409803
5061.2;5103.27;4955.85;5089.54;13675206312;0.0429641712501128
5325.08;5354.23;5017.3;5064.49;16555616019;0.217958337541905
5204.11;5421.65;5193.38;5324.55;15504590933;0.296962537146198
5289.92;5289.92;5167.42;5204.96;14722104361;0.267443615979896
5199.84;5318.84;5148.21;5289.77;17154113634;0.290700937201863
5062.79;5235.19;5050.41;5198.9;16655416140;0.277650395295286
5036.79;5205.82;4992.22;5059.82;16929795194;0.238006689388731
4922.81;5053.51;4919.49;5036.68;16837325387;0.263884288395716
4971.31;5063.16;4836.79;4922.8;18251810240;0.242168319005216
4879.96;5307;4876.62;4973.02;22899891582;0.236402240581577
4156.92;4905.95;4155.32;4879.88;21315047816;0.2091391361876
4105.36;4164.95;4096.9;4158.18;10157794171;0.0333526343387254
4105.46;4113.02;4094.1;4105.4;9045122443;0.0188790692249083
4092.14;4296.81;4053.91;4106.66;9732688060;0.00469237769970743
4068.3;4113.5;4034.1;4098.37;10918665557;0.00667618067444642
4087.58;4094.9;4040.27;4069.11;9353915899;0.00907623291696735
3984.24;4087.07;3977.81;4087.07;10897131934;0.0153630972640073
3969.23;3985.08;3944.75;3985.08;10707678815;-0.0157209791712463
4024.11;4038.84;3934.03;3963.07;10359818883;0.000545329229899361
4035.16;4040.7;4006.19;4022.17;9144851065;0.0249211975425356
4022.71;4049.88;4015.96;4035.83;9578850549;0.0330481836425442
4028.51;4053.91;4021.54;4023.97;9252935969;0.0293694809115002
4083.95;4097.36;4005.15;4029.33;10831212662;0.0317778978446852
4070.79;4089.46;4031.11;4087.48;10175916388;0.0343860714647233
4032.69;4082.22;4023.81;4071.19;9344919956;0.0272196724455065
4029.97;4071.56;4009.12;4032.51;9646954186;0.0336774216701314
4047.72;4054.12;4006.41;4025.23;8221625400;0.0290810639451051
3963.9;4077.04;3961.66;4048.73;9856166973;0.037088172461667
3926.66;3968.54;3914.02;3960.91;9394210605;0.0165615263398333
3905.58;3946.5;3901.3;3924.37;10480789570;0.0432825742511085
3913.05;3926.6;3891.9;3906.72;9469184841;0.0154762709309155
3903.76;3926.89;3863.56;3909.16;9809887079;0.0115774165333995
3953.74;3966.38;3889.24;3905.23;10125901903;0.0118277118235663
3966.17;3966.17;3924.38;3951.6;9713267607;0.025114208556108
3894.55;3987.24;3892.39;3963.31;10796103518;0.0291504914244167
3913.23;3950.43;3875.23;3901.13;10638638944;0.0121343102356812
3903.38;3939.37;3894.11;3911.48;9584165519;0.00741236768228304
3897.08;3919.51;3871.46;3903.94;9175291529;0.0245405374196614
