EBIT Margin;NI Margin;Minorities;NI to Common Margin;EBITDA margin;Total Sales;EBIT (Operating Income);EBITDA;Working Capital;Total Capital;Total Debt;Net Debt;Days of Inventory on Hand;Days of Sales Outstanding;Days of Payables Outstanding;ST Debt & Curr. Portion LT Debt;Accounts Payable;Provision for Risks & Charges;Total Equity;Total Liabilities & Shareholders' Equity;Working Capital;Net Debt;Days of Inventory on Hand;Days of Sales Outstanding;Days of Payables Outstanding;Long Term Debt Maturities;Free Cash Flow;"0 - no fraud
1- fraud"
0.071698247;0.015077748;102.04;0.013870783;0.149338881;-0.054835321;0.022417961;0.112417665;-1195.551;13296.213;11975.359;8998.965;24.08405591;138.9749928;305.1074145;0.273925763;0.04099088;-0.456664903;0.033520855;0.029570045;0.272012972;-0.043716939;0.034151262;0.278143102;0.178048984;0.273925763;600.46;0
0.114804323;0.020149451;147.495;0.020627036;0.181213602;-0.027989375;0.556398191;0.179475463;-140.157;11642.273;10197.003;8364.165;20.68844409;128.7943047;330.2868519;0.522143687;0.055354223;0.222037781;0.397869945;0.193531887;-0.882767862;-0.070541446;-0.140990032;-0.073255539;0.082526468;-0.992735012;-162.736;1
-0.07610188;-0.208225132;-1195.415;-0.207700241;0.065332843;-0.195101312;-1.533553981;-0.709810307;-7871.654;9608.846;9546.564;8846.47;20.87138754;136.7043586;303.6353049;2.78768673;-0.264619706;-0.496144973;-0.828841436;-0.341408257;55.16311708;0.057663257;0.008842784;0.061416177;-0.080692122;0.557609591;-1390.556;1
-1.409415431;-2.822854562;-4275.775;-2.831539688;-0.150704644;-0.737632226;3.859080874;-1.60520927;-8356.518;2227.181;9562.318;9280.111;22.2814054;408.8121195;343.2709489;0.070483064;-0.416276447;-0.185899753;-15.96962565;-0.403750806;0.061596203;0.049018535;0.067557457;1.990483433;0.130537007;-0.231022327;-388.124;1
-0.256625363;3.094969617;4579.044;3.094433722;0.017073622;-0.020055587;-0.821572416;-1.111019809;-997.941;862.064;3731.925;3533.446;20.65689754;285.8525103;457.1070758;-0.772750268;-0.263563578;0.14617135;-0.64486735;-0.358621495;-0.880579327;-0.619245287;-0.07290868;-0.300772906;0.331621791;-0.353147922;-179.897;0
0.113840516;-1.101258438;-1444.83;-1.109082033;0.144646687;-0.119641728;-1.390532093;6.458341579;-4359.562;-297.34;4081.289;3746.978;27.52316453;220.5009054;566.5942254;0.856386617;-0.300535309;0.191044969;0.76552753;-0.397700625;3.368556859;0.060431658;0.332395848;-0.228620014;0.239521888;-0.15816206;-132.901;0
0.080151605;0.037470653;8.443;0.037470653;0.121461191;0.394877922;0.132572432;0.244339365;29.15;177.908;102.968;101.694;57.7905109;37.23737701;37.69453997;-0.972521246;1.214942529;0;0.240892833;1.604349375;0.697530864;43.25326371;0.401288006;0.13412269;0.195887681;-0.972521246;-0.784;0
0.081073961;0.037590992;12.843;0.037590992;0.125385262;0.516272196;0.53372093;0.565258696;30.775;189.212;90.113;86.941;61.29132428;37.42507705;51.06823556;-0.350515464;0.63371389;0;0.322377902;0.13042828;0.055746141;-0.145072472;0.060577651;0.005040635;0.35479132;-0.350515464;7.99;0
0.084777034;0.044573306;22.299;0.044573306;0.121380755;0.464292509;0.531174411;0.417526495;79.17;263.07;123.55;122.585;70.10548223;34.34754646;40.27275135;-0.476190476;0.159960824;0;0.407885044;0.352028337;1.572542648;0.409979181;0.143807595;-0.082231777;-0.211393327;-0.476190476;-46.772;1
0.098018168;0.069587632;55.882;0.069587632;0.127038958;0.605200719;0.855913421;0.680027666;413.748;668.217;78.043;-214.138;73.42636472;33.25745444;36.41842273;151.4242424;0.756258415;0;3.230031537;1.275530689;4.226070481;-2.746853204;0.047369797;-0.031737115;-0.095705619;151.4242424;-9.8;0
0.116072304;0.058599252;79.506;0.058599252;0.148838975;0.689537946;1.000736854;0.979464408;257.214;1053.758;354.513;349.757;77.10852503;36.19789022;36.82516622;2.779125249;0.808968179;0;0.184811598;0.684084936;-0.378331738;-2.633325239;0.050147659;0.088414337;0.011168619;2.779125249;-128.577;0
0.143211793;0.075841441;199.501;0.075257865;0.18607876;0.953823589;1.410657591;1.44267385;660.153;2494.853;582.638;542.126;95.42897237;34.84423303;33.61452884;-0.649166184;0.907132596;0;1.764766284;1.333246508;1.566551587;0.550007577;0.23759302;-0.037396024;-0.087185957;-0.649166184;-282.659;1
0.147413012;0.094190555;362.628;0.093964601;0.1944816;0.455807256;0.498514382;0.521547774;802.969;2792.754;531.526;460.353;99.75188179;34.29882906;36.41260974;0.461688409;0.052977089;-1;0.174774693;0.130680665;0.216337728;-0.150837628;0.045299759;-0.015652633;0.083240223;0.461688409;76.664;0
0.175927354;0.111081205;483.232;0.110881347;0.228517473;0.129276083;0.347713818;0.326908651;924.429;2886.541;250.971;-9.681;96.31116215;36.70171692;40.83139431;0.506873205;0.11657969;0;0.165328567;0.04031181;0.151263623;-1.021029514;-0.034492779;0.070057431;0.121353141;0.506873205;603.189;0
0.074045387;-0.139114645;-1206.746;-0.14155287;0.359473927;-0.018487546;-0.52089497;-0.139322796;-2215.648;12442.915;10972.297;9646.658;5.512363384;77.11062275;51.30151234;0;-0.125405915;0;-0.492818505;-0.14141736;-0.039347068;0.385079152;-0.131231978;0.096307513;0.088041828;0.225941423;-8107.347;0
0.077677175;-0.015678785;-126.022;-0.017745811;0.381431012;-0.166984025;-0.126126155;-0.116102443;-3296.776;12444.515;10364.367;9013.566;5.815392561;83.17191267;48.79092088;0.257552849;-0.292767594;0;0.409303479;0.006036948;0.487951155;-0.065628117;0.054972642;0.078605122;-0.048937962;1.901706485;-5853.02;0
0.114396048;-0.004054329;-48.044;-0.006352897;0.380001068;0.064919601;0.568319057;0.060927333;-2812.985;8353.75;6238.929;3657.183;5.511052653;64.71957845;48.91843354;-1;0.434666169;0;0.01615397;0.092182355;-0.1467467;-0.594257922;-0.052333511;-0.22185776;0.002613451;-0.398326444;-6411.402;0
0.11703935;0.023586531;176.17;0.021229445;0.36258812;0.097301513;0.122656405;0.047019404;-3153.314;9188.246;6953.59;5713.772;4.854240244;65.38151272;52.20625045;0;-0.050249055;0;0.048491946;0.041441475;0.120985003;0.562342382;-0.119180935;0.010227728;0.067210184;-0.624385612;-7502.667;1
0.120585331;0.026946481;243.079;0.026946481;0.378329012;0.087056389;0.11999131;0.134248332;1269.124;17955.91;15448.624;14339.235;4.989352283;70.86876873;49.72413323;0;0.113173532;0;0.121999843;0.27835216;-1.402473081;1.509591737;0.027833818;0.083926721;-0.047544445;-1;-7208.042;1
0.149230869;0.032139177;346.2;0.032139177;0.391815743;0.194117112;0.477784509;0.236685182;1392.2;19080.6;16309.4;15013.6;4.443146584;57.58995813;44.20545241;0;-0.031190288;0.046557827;0.105250458;-0.022129313;0.096977128;0.047029357;-0.10947427;-0.187371826;-0.110985963;0;-7022.6;1
0.084102843;-0.007423502;-82;-0.007423502;0.369545537;0.025445836;-0.422083981;-0.032838933;504;18457;15993;14668;3.232404937;51.37624479;40.20665117;0;0.0414299;0.107276388;-0.110854503;-0.024540027;-0.637983048;-0.023019129;-0.272496445;-0.107895778;-0.090459457;0;-8211;0
0.095965828;0.025913621;273;0.025913621;0.37750356;-0.04626109;0.088266954;-0.025722685;-459;17926;15907;14892;2.555779729;63.59349786;40.86156326;1.490566038;-0.131944444;0.044155844;-0.180600649;-0.026141338;-1.910714286;0.015271339;-0.209325632;0.237799651;0.016288651;1.490566038;-9653;0
0.069294559;-0.05384528;-474;-0.05384528;0.367374759;-0.164404366;-0.396636993;-0.186824239;-1987;14616;13541;12447;1.291990561;69.59587641;43.27156762;0.409090909;-0.061714286;0.012437811;-0.467558197;-0.179938351;3.328976035;-0.164182111;-0.49448282;0.094386671;0.058979739;0.409090909;-8562;0
0.209802218;-0.032714191;-116.025;-0.032714191;0.487875519;0.439072567;0.37630053;0.500381531;954.699;14733.023;11015.625;10095.124;82.23052138;76.74020886;32.7804072;3.316242697;0.442608806;0;-0.072277725;0.365908615;1.203656684;0.557754405;-0.01019251;0.204231929;-0.021751821;3.316242697;548.94;0
0.169789613;-0.149692917;-866.142;-0.150121542;0.405942001;0.62678698;0.316532946;0.353585365;1373.493;22498.506;17379.783;16779.443;81.83643874;86.30924127;28.86014296;-0.548427471;0.437963973;0;0.407791687;0.558228771;0.438666009;0.662133422;-0.004792413;0.124693854;-0.119591688;-0.573586682;926.638;0
0.275125552;0.11038906;913.5;0.110546379;0.474798814;0.432247095;1.320800229;0.67518813;1462.3;20573;15260.8;14938.2;90.00882131;85.92350003;34.95264635;-0.967256511;0.217237055;0.394056367;0.038441739;-0.057838788;0.064657774;-0.109732069;0.099862393;-0.004469292;0.211104408;-0.995604524;2003.1;1
0.239429474;-0.027549897;-291.7;-0.027923228;0.478294166;0.264173776;0.100153948;0.273480311;194.6;37014.9;31103.9;30490.6;82.69636625;83.20420715;29.31915304;117.0985915;0.089698492;0.295246038;0.109540896;0.858023754;-0.866921972;1.041116065;-0.081241538;-0.031647836;-0.161175015;913.4444444;1862.3;1
0.119805665;-0.248914616;-2409;-0.249017986;0.416063676;-0.073948212;-0.536622421;-0.194436105;1468;33004;29852;29309;80.04579864;98.17156812;27.1755316;-0.991651759;-0.25293982;0.220218931;-0.459683572;-0.111008996;6.543679342;-0.038752927;-0.032051803;0.179887069;-0.073113348;-0.998784933;1755;0
0.062242091;0.275561669;2404;0.275561669;0.389844108;-0.098201364;-0.531492666;-0.155031056;478;31293;25444;24647;73.48081329;97.21200138;24.06556383;28.85714286;0.12654321;-1;0.824432167;-0.138574284;-0.674386921;-0.159063769;-0.082015364;-0.009774385;-0.114439998;208;2009;0
0.03630569;0.02151454;137429;0.019311726;0.077460917;0.121832312;0.092332734;0.123276589;179916;2266806;1158485;849173;50.3793994;67.34636857;113.4103903;-0.338984214;0.239626231;0.139220326;0.234854243;0.210173313;-0.24292435;0.313295608;-0.021732565;-0.014518888;0.024919215;-0.200876753;154336;0
0.031050683;0.018541548;127413;0.016616032;0.080627657;0.077529351;-0.07843585;0.121580657;-56605;2283228;1260963;0;52.37404381;67.83537259;113.5373896;1.571321956;-0.071401016;0.174694937;-0.028512892;-0.012366828;-1.314619044;-1;0.039592461;0.00726103;0.001119821;1.007773349;-206970;0
-0.037596412;-0.050127598;-329780;-0.049557308;0.014963969;-0.132178919;-2.050764598;-0.83893805;-347142;2257998;1810652;0;54.74764992;75.09526272;107.6537384;0.987271577;-0.212733975;0.133640829;-0.454608469;-0.034806934;5.132709125;0;0.045320276;0.10702219;-0.051821265;0.089516123;-544081;1
0.018363893;-0.000740567;-19317;-0.003026984;0.06521704;-0.041012587;-1.468415499;3.179527606;273161;2015757;1218302;950853;57.61361044;75.24508552;108.1065071;-0.75107072;0.144300747;0.008651702;0.485118158;-0.065601364;-1.786885482;0;0.052348558;0.001995103;0.004205787;-0.279441648;229841;1
0.037551428;0.024197684;146028;0.022822206;0.078124031;0.002649179;1.050268365;0.20108172;301359;1949425;1081306;822466;61.85686375;76.57581068;115.4734411;0.211366003;0.0043386;0.011974587;0.046109423;0.055702832;0.103228499;-0.135022974;0.073650189;0.01768521;0.068145149;-0.226209488;127254;1
0.03387543;0.014333975;75000;0.012294554;0.074360577;-0.046611357;-0.139940817;-0.092538765;342157;2103029;1235761;1021456;68.87318449;84.46966827;127.9444756;0.046121721;0.071857482;0.060289333;0.048241123;0.065422222;0.135380062;0.241943132;0.11342833;0.103085524;0.107999159;0.296159685;6257;1
0.033501136;0.016503683;77533;0.013367111;0.071042765;-0.049175101;-0.059680908;-0.091598897;419983;2506032;1471576;1262407;78.56132883;95.60494698;134.2504046;0.3280391;-0.037176452;-0.081083511;0.14556959;0.065515596;0.227456986;0.23588975;0.140666421;0.131825766;0.04928645;0.169625313;-176812;1
0.044715429;0.013016292;59528;0.009154572;0.073381906;0.121073789;0.496346158;0.157986061;617178;2617453;1388387;1217047;72.826551;89.45191327;107.720458;-0.530108882;-0.261818065;-0.146562303;0.166467588;0.022088901;0.46953091;-0.03593136;-0.072997465;-0.064358947;-0.197615394;-0.762416468;44255;1
0.025607229;-0.002856866;-37825;-0.005682933;0.054144041;0.023583235;-0.413823582;-0.244760242;427538;2425380;1341384;1142018;69.6635562;89.42793222;85.96933368;0.456243275;0.022334413;-0.045727753;-0.05263486;0.014924804;-0.30726954;-0.0616484;-0.043431891;-0.000268089;-0.201921945;2.609930684;51864;1
-0.072991493;-0.156454721;-831899;-0.146753358;-0.035263363;-0.148320571;-3.427648602;-1.554688562;386576;1779786;1450912;481197;65.73523143;92.39460745;84.58864426;1.090606959;-0.284808331;0.080201349;-0.570540139;-0.142299699;-0.095809028;-0.578643244;-0.056389955;0.033173922;-0.016060255;0.006532385;-275097;1
0.059067011;0.024616011;183904;0.037756635;0.086588515;-0.14075832;-1.695325377;-3.109851574;17890;650849;1203796;496103;69.06253285;92.90173757;84.52595989;0.106539254;-0.166648614;0.70806734;-1.410116354;-0.21420117;-0.953721907;0.030976918;0.050616714;0.005488742;-0.00074105;0.572523475;-37347;0
